Rank,Title,Theaters,Total Gross,Release Date,Distributor,Release Month
1,Barbie,"4,337",594254460,2023-07-21 0:00:00,Warner Bros.,July
2,The Super Mario Bros. Movie,"4,371",574759600,2023-04-05 0:00:00,Universal Pictures,April
3,Spider-Man: Across the Spider-Verse,"4,332",381178195,2023-06-02 0:00:00,Columbia Pictures,June
8,Ant-Man and the Wasp: Quantumania,"4,345",214504909,2023-02-17 0:00:00,Walt Disney Studios Motion Pictures,February
5,Oppenheimer,"3,761",300144670,2023-07-21 0:00:00,Universal Pictures,July
92,Chevalier,"1,281",3541159,2023-04-21 0:00:00,Walt Disney Studios Motion Pictures,April
7,Avatar: The Way of Water,"4,340",684075767,2023-12-16 0:00:00,20th Century Studios,December
4,Guardians of the Galaxy Vol. 3,"4,450",358995815,2023-05-05 0:00:00,Walt Disney Studios Motion Pictures,May
9,John Wick: Chapter 4,"3,855",187131806,2023-03-24 0:00:00,Lionsgate,March
10,Sound of Freedom,"3,411",180587629,2023-07-04 0:00:00,Angel Studios,July
6,The Little Mermaid,"4,320",297895447,2023-05-26 0:00:00,Walt Disney Studios Motion Pictures,May
12,Mission: Impossible - Dead Reckoning Part One,"4,327",168248955,2023-07-12 0:00:00,Paramount Pictures,July
13,Transformers: Rise of the Beasts,"3,680",157066392,2023-06-09 0:00:00,Paramount Pictures,June
14,Creed III,"4,007",156248615,2023-03-03 0:00:00,United Artists Releasing,March
11,Indiana Jones and the Dial of Destiny,"4,600",174116627,2023-06-30 0:00:00,Walt Disney Studios Motion Pictures,June
16,Fast X,"4,088",145960660,2023-05-19 0:00:00,Universal Pictures,May
17,Puss in Boots: The Last Wish,"4,121",185535345,2023-12-21 0:00:00,Universal Pictures,December
18,Scream VI,"3,676",108161389,2023-03-10 0:00:00,Paramount Pictures,March
19,The Flash,"4,256",108133313,2023-06-16 0:00:00,Warner Bros.,June
20,Teenage Mutant Ninja Turtles: Mutant Mayhem,"3,950",99847538,2023-08-02 0:00:00,Paramount Pictures,August
21,M3GAN,"3,628",95043350,2023-01-06 0:00:00,Universal Pictures,January
22,Dungeons & Dragons: Honor Among Thieves,"3,856",93277026,2023-03-31 0:00:00,Paramount Pictures,March
23,Insidious: The Red Door,"3,188",82042800,2023-07-07 0:00:00,Screen Gems,July
24,Meg 2: The Trench,"3,604",74469810,2023-08-04 0:00:00,Warner Bros.,August
25,Evil Dead Rise,"3,417",67233054,2023-04-21 0:00:00,Warner Bros.,April
26,Cocaine Bear,"3,571",64388510,2023-02-24 0:00:00,Universal Pictures,February
27,A Man Called Otto,"3,957",64267657,2023-12-30 0:00:00,Columbia Pictures,December
15,Elemental,"4,035",151692473,2023-06-16 0:00:00,Walt Disney Studios Motion Pictures,June
29,Shazam! Fury of the Gods,"4,071",57638006,2023-03-17 0:00:00,Warner Bros.,March
30,Air,"3,507",52460106,2023-04-05 0:00:00,-,April
31,Jesus Revolution,"2,575",52102987,2023-02-24 0:00:00,Lionsgate,February
32,No Hard Feelings,"3,208",50452282,2023-06-23 0:00:00,Sony Pictures Entertainment (SPE),June
33,Blue Beetle,"3,871",46566539,2023-08-18 0:00:00,Warner Bros.,August
34,The Boogeyman,"3,205",43244282,2023-06-02 0:00:00,Walt Disney Studios Motion Pictures,June
35,Talk to Me,"2,379",41066389,2023-07-28 0:00:00,A24,July
36,80 for Brady,"3,939",39330588,2023-02-03 0:00:00,Paramount Pictures,February
37,Knock at the Cabin,"3,657",35397980,2023-02-03 0:00:00,Universal Pictures,February
38,Missing,"3,025",32502025,2023-01-20 0:00:00,Sony Pictures Entertainment (SPE),January
39,Plane,"3,060",32111181,2023-01-13 0:00:00,Lionsgate,January
40,65,"3,405",32062904,2023-03-10 0:00:00,Sony Pictures Entertainment (SPE),March
41,Asteroid City,"1,901",28049165,2023-06-16 0:00:00,Focus Features,June
42,Magic Mike's Last Dance,"3,034",26005156,2023-02-10 0:00:00,Warner Bros.,February
43,"Are You There God? It's Me, Margaret.","3,343",20372406,2023-04-28 0:00:00,Lionsgate,April
